Product_Supermarket_Identifier,Product_Supermarket_Sales
DRI49_CHUKWUDI018,2845.948141
DRI49_CHUKWUDI035,4135.42024
DRI49_CHUKWUDI045,3542.628341
DRI49_CHUKWUDI046,3545.550294
DRJ11_CHUKWUDI010,4538.895033
DRJ11_CHUKWUDI013,8247.651616
DRJ23_CHUKWUDI010,2964.011656
DRJ23_CHUKWUDI013,6592.52663
DRJ24_CHUKWUDI010,1260.70241
DRJ24_CHUKWUDI013,5114.552117
DRJ25_CHUKWUDI017,2886.331448
DRJ25_CHUKWUDI018,1661.727612
DRJ25_CHUKWUDI045,2340.52989
DRJ25_CHUKWUDI049,2661.411467
DRJ35_CHUKWUDI017,2621.385283
DRJ35_CHUKWUDI046,2216.008562
DRJ39_CHUKWUDI013,12287.13523
DRJ39_CHUKWUDI018,11918.18079
DRJ39_CHUKWUDI046,12680.75608
DRJ47_CHUKWUDI013,7706.317808
DRJ49_CHUKWUDI045,5276.712315
DRJ51_CHUKWUDI013,10916.1186
DRJ51_CHUKWUDI049,11741.11212
DRJ59_CHUKWUDI027,7374.671959
DRJ59_CHUKWUDI045,2484.42287
DRJ59_CHUKWUDI046,2515.223489
DRJ59_CHUKWUDI049,2705.70742
DRK01_CHUKWUDI017,4434.740754
DRK01_CHUKWUDI018,3263.204268
DRK01_CHUKWUDI035,4640.651069
DRK01_CHUKWUDI045,3966.578601
DRK12_CHUKWUDI017,2562.648232
DRK12_CHUKWUDI018,1768.025505
DRK12_CHUKWUDI027,7330.078198
DRK12_CHUKWUDI035,2771.927239
DRK12_CHUKWUDI045,2499.762272
DRK12_CHUKWUDI049,2745.938061
DRK13_CHUKWUDI013,8297.648225
DRK13_CHUKWUDI046,8655.627154
DRK23_CHUKWUDI013,10724.56234
DRK23_CHUKWUDI018,10302.01902
DRK23_CHUKWUDI049,11244.52261
DRK35_CHUKWUDI017,3577.708751
DRK35_CHUKWUDI019,-2902.257706
DRK35_CHUKWUDI027,7968.693167
DRK35_CHUKWUDI035,3630.927426
DRK35_CHUKWUDI045,3084.737368
DRK35_CHUKWUDI046,3090.83963
DRK35_CHUKWUDI049,3352.256817
DRK37_CHUKWUDI010,6252.265703
DRK39_CHUKWUDI017,5924.531084
DRK39_CHUKWUDI027,10278.71211
DRK39_CHUKWUDI046,5383.267019
DRK39_CHUKWUDI049,5623.42021
DRK47_CHUKWUDI013,6717.181981
DRK47_CHUKWUDI018,6319.576286
DRK47_CHUKWUDI046,6982.843008
DRK47_CHUKWUDI049,7265.600427
DRK49_CHUKWUDI017,2683.738351
DRK49_CHUKWUDI019,-3822.889293
DRK49_CHUKWUDI027,7198.470174
DRK49_CHUKWUDI035,2921.387195
DRK49_CHUKWUDI046,2299.58277
DRK49_CHUKWUDI049,2593.072368
DRK59_CHUKWUDI010,2743.934856
DRK59_CHUKWUDI018,6026.511075
DRL01_CHUKWUDI010,6612.948228
DRL01_CHUKWUDI013,10316.4569
DRL01_CHUKWUDI049,10964.31853
DRL23_CHUKWUDI035,4934.885715
DRL23_CHUKWUDI045,4360.475123
DRL35_CHUKWUDI017,3137.429136
DRL35_CHUKWUDI027,7584.55604
DRL35_CHUKWUDI035,3339.493683
DRL35_CHUKWUDI045,2729.493011
DRL35_CHUKWUDI049,2982.766845
DRL37_CHUKWUDI017,2843.105406
DRL37_CHUKWUDI018,1728.810357
DRL37_CHUKWUDI027,7319.458835
DRL37_CHUKWUDI035,2939.194129
DRL37_CHUKWUDI045,2343.324187
DRL37_CHUKWUDI049,2667.683361
DRL47_CHUKWUDI027,8418.393102
DRL47_CHUKWUDI045,3058.35358
DRL59_CHUKWUDI019,-3206.967304
DRL59_CHUKWUDI035,3299.113571
DRM11_CHUKWUDI013,9590.228346
DRM11_CHUKWUDI018,9253.01396
DRM11_CHUKWUDI046,9937.614437
DRM23_CHUKWUDI013,6424.960823
DRM37_CHUKWUDI010,7213.813765
DRM37_CHUKWUDI013,11002.65128
DRM47_CHUKWUDI010,3591.048129
DRM48_CHUKWUDI027,7010.542997
DRM48_CHUKWUDI045,2087.03533
DRM48_CHUKWUDI046,2015.100316
DRM48_CHUKWUDI049,2265.752206
DRM49_CHUKWUDI017,2458.34977
DRM49_CHUKWUDI035,2672.242153
DRM49_CHUKWUDI045,1969.410629
DRM49_CHUKWUDI049,2448.636439
DRN35_CHUKWUDI018,2047.56893
DRN35_CHUKWUDI035,3375.332857
DRN35_CHUKWUDI046,2863.672625
DRN35_CHUKWUDI049,3096.666842
DRN36_CHUKWUDI019,-3236.336129
DRN36_CHUKWUDI027,7522.355504
DRN36_CHUKWUDI035,3252.270167
DRN36_CHUKWUDI045,2585.34423
DRN37_CHUKWUDI013,4621.514992
DRN47_CHUKWUDI010,2924.34097
DRN47_CHUKWUDI013,6688.701083
DRN59_CHUKWUDI017,2773.033572
DRN59_CHUKWUDI027,7192.311784
DRN59_CHUKWUDI045,2262.249216
DRN59_CHUKWUDI049,2529.762657
DRO35_CHUKWUDI045,6838.080317
DRO47_CHUKWUDI035,4940.967295
DRO59_CHUKWUDI017,3844.651218
DRO59_CHUKWUDI019,-2460.798474
DRO59_CHUKWUDI045,3326.700396
DRO59_CHUKWUDI049,3619.079729
DRP35_CHUKWUDI027,11174.36716
DRP35_CHUKWUDI045,6311.516356
DRP47_CHUKWUDI013,7755.627075
DRP47_CHUKWUDI046,8060.270384
DRP47_CHUKWUDI049,8321.511456
DRQ35_CHUKWUDI027,9635.058044
DRQ35_CHUKWUDI035,5460.974512
DRQ35_CHUKWUDI045,4776.310466
DRY23_CHUKWUDI017,2788.723434
DRY23_CHUKWUDI019,-3587.733703
DRY23_CHUKWUDI027,7304.720566
DRY23_CHUKWUDI035,3023.52338
DRY23_CHUKWUDI046,2479.870597
DRY23_CHUKWUDI049,2655.911175
DRZ11_CHUKWUDI027,8790.222493
DRZ11_CHUKWUDI045,3895.144516
DRZ24_CHUKWUDI027,11843.54127
DRZ24_CHUKWUDI045,6960.398718
FDA01_CHUKWUDI017,4091.864106
FDA01_CHUKWUDI018,2938.077102
FDA01_CHUKWUDI027,8486.099759
FDA01_CHUKWUDI035,4208.875452
FDA01_CHUKWUDI045,3549.040939
FDA01_CHUKWUDI046,3626.152501
FDA04_CHUKWUDI013,8973.056124
FDA04_CHUKWUDI018,8575.428887
FDA04_CHUKWUDI035,9938.701943
FDA04_CHUKWUDI046,9206.733048
FDA04_CHUKWUDI049,9464.609958
FDA07_CHUKWUDI027,9296.068792
FDA07_CHUKWUDI035,4947.956475
FDA07_CHUKWUDI045,4409.022586
FDA10_CHUKWUDI027,9283.623378
FDA10_CHUKWUDI035,5012.835498
FDA11_CHUKWUDI017,4650.079174
FDA11_CHUKWUDI018,3482.049587
FDA11_CHUKWUDI027,9122.296579
FDA11_CHUKWUDI045,3911.448193
FDA13_CHUKWUDI017,2388.109185
FDA13_CHUKWUDI018,1220.171693
FDA13_CHUKWUDI019,-3972.171644
FDA13_CHUKWUDI027,6892.917897
FDA13_CHUKWUDI035,2484.033062
FDA13_CHUKWUDI045,1891.624521
FDA13_CHUKWUDI049,2191.129649
FDA15_CHUKWUDI010,9258.372264
FDA15_CHUKWUDI013,12993.41131
FDA15_CHUKWUDI018,12560.66007
FDA15_CHUKWUDI049,13524.25177
FDA16_CHUKWUDI018,8028.295104
FDA16_CHUKWUDI046,8733.065054
FDA20_CHUKWUDI013,7139.710357
FDA21_CHUKWUDI013,6668.370575
FDA23_CHUKWUDI017,4478.284704
FDA23_CHUKWUDI027,9260.019889
FDA23_CHUKWUDI035,4911.783049
FDA25_CHUKWUDI017,4031.12546
FDA25_CHUKWUDI018,2845.393856
FDA25_CHUKWUDI035,4240.657163
FDA25_CHUKWUDI045,3623.413034
FDA26_CHUKWUDI013,7146.187905
FDA26_CHUKWUDI018,6924.082184
FDA27_CHUKWUDI018,5087.319304
FDA27_CHUKWUDI046,5738.290494
FDA27_CHUKWUDI049,5893.210995
FDA28_CHUKWUDI027,10144.22926
FDA32_CHUKWUDI010,4997.127948
FDA32_CHUKWUDI018,8357.58256
FDA32_CHUKWUDI046,9024.174685
FDA34_CHUKWUDI013,9113.485907
FDA35_CHUKWUDI027,11069.45033
FDA36_CHUKWUDI013,5222.759846
FDA37_CHUKWUDI035,5376.034708
FDA38_CHUKWUDI013,7860.804326
FDA38_CHUKWUDI018,7388.889431
FDA38_CHUKWUDI049,8331.200072
FDA39_CHUKWUDI017,3433.183073
FDA39_CHUKWUDI018,2336.141564
FDA39_CHUKWUDI027,7506.588496
FDA39_CHUKWUDI035,3332.360051
FDA39_CHUKWUDI046,3045.257672
FDA39_CHUKWUDI049,3242.865413
FDA40_CHUKWUDI017,4576.75481
FDA40_CHUKWUDI035,4754.606007
FDA40_CHUKWUDI046,4189.635986
FDA40_CHUKWUDI049,4394.128794
FDA43_CHUKWUDI010,3226.90129
FDA43_CHUKWUDI013,7019.568915
FDA44_CHUKWUDI017,3617.739176
FDA44_CHUKWUDI018,2143.839521
FDA44_CHUKWUDI027,8161.196936
FDA44_CHUKWUDI035,3883.981487
FDA44_CHUKWUDI045,3220.597812
FDA44_CHUKWUDI049,3548.510252
FDA45_CHUKWUDI013,5976.862196
FDA46_CHUKWUDI013,7262.241336
FDA48_CHUKWUDI046,8696.499674
FDA49_CHUKWUDI019,-1820.098897
FDA49_CHUKWUDI027,8932.075625
FDA49_CHUKWUDI035,4690.30432
FDA49_CHUKWUDI046,4072.044251
FDA49_CHUKWUDI049,3952.962023
FDA50_CHUKWUDI017,4041.236659
FDA50_CHUKWUDI019,-2212.365785
FDA50_CHUKWUDI027,8613.708756
FDA50_CHUKWUDI035,4226.078132
FDA51_CHUKWUDI027,9017.938014
FDA52_CHUKWUDI013,5280.130853
FDA55_CHUKWUDI013,8005.061402
FDA55_CHUKWUDI018,7710.561005
FDA56_CHUKWUDI027,11216.57778
FDA56_CHUKWUDI045,6180.540533
FDA57_CHUKWUDI027,6727.750523
FDA57_CHUKWUDI045,2214.016237
FDA58_CHUKWUDI013,9156.439612
FDA58_CHUKWUDI046,9535.754491
FDB02_CHUKWUDI013,7520.785492
FDB03_CHUKWUDI013,9361.570577
FDB03_CHUKWUDI018,8906.360991
FDB03_CHUKWUDI046,9673.298403
FDB03_CHUKWUDI049,9913.177608
FDB04_CHUKWUDI017,4474.668071
FDB04_CHUKWUDI019,-1902.327163
FDB04_CHUKWUDI027,8915.250749
FDB04_CHUKWUDI035,4613.084928
FDB04_CHUKWUDI045,4010.072225
FDB04_CHUKWUDI046,3994.825387
FDB05_CHUKWUDI046,8011.709756
FDB05_CHUKWUDI049,8312.18508
FDB10_CHUKWUDI018,8433.603348
FDB10_CHUKWUDI049,9372.533769
FDB11_CHUKWUDI013,10244.68521
FDB12_CHUKWUDI035,4805.269326
FDB14_CHUKWUDI018,3872.726815
FDB14_CHUKWUDI019,-1184.517142
FDB14_CHUKWUDI027,9339.731817
FDB14_CHUKWUDI035,5165.184982
FDB14_CHUKWUDI045,4501.620495
FDB15_CHUKWUDI010,5566.040597
FDB15_CHUKWUDI013,9414.008105
FDB15_CHUKWUDI018,9008.707699
FDB15_CHUKWUDI035,10344.04584
FDB15_CHUKWUDI046,9661.802483
FDB15_CHUKWUDI049,9944.373569
FDB16_CHUKWUDI035,3431.213341
FDB16_CHUKWUDI045,2774.966739
FDB16_CHUKWUDI046,2738.338454
FDB16_CHUKWUDI049,3109.979476
FDB17_CHUKWUDI010,3899.412728
FDB17_CHUKWUDI013,7625.422211
FDB20_CHUKWUDI017,3612.801325
FDB20_CHUKWUDI035,3473.640842
FDB20_CHUKWUDI045,3084.177359
FDB20_CHUKWUDI049,3358.788083
FDB21_CHUKWUDI018,7656.1338
FDB23_CHUKWUDI013,9277.172887
FDB23_CHUKWUDI018,8855.166121
FDB26_CHUKWUDI017,3252.654649
FDB26_CHUKWUDI027,7763.752203
FDB26_CHUKWUDI035,3387.210346
FDB26_CHUKWUDI045,2755.887314
FDB26_CHUKWUDI046,2744.087078
FDB27_CHUKWUDI010,3380.211901
FDB27_CHUKWUDI046,7310.970402
FDB28_CHUKWUDI010,2039.918191
FDB28_CHUKWUDI013,5786.32036
FDB29_CHUKWUDI035,5302.58338
FDB29_CHUKWUDI045,4688.950031
FDB32_CHUKWUDI017,4687.406616
FDB32_CHUKWUDI018,3512.218669
FDB32_CHUKWUDI019,-1654.971216
FDB32_CHUKWUDI027,9148.621638
FDB32_CHUKWUDI035,4836.100589
FDB34_CHUKWUDI017,4715.255826
FDB34_CHUKWUDI018,3561.39641
FDB34_CHUKWUDI027,9229.8262
FDB34_CHUKWUDI035,4899.514033
FDB34_CHUKWUDI045,4303.741846
FDB34_CHUKWUDI049,4567.672638
FDB35_CHUKWUDI017,5185.118423
FDB35_CHUKWUDI018,4105.979168
FDB35_CHUKWUDI019,-1150.946037
FDB35_CHUKWUDI045,4741.8512
FDB35_CHUKWUDI046,4662.648117
FDB36_CHUKWUDI027,10224.10428
FDB37_CHUKWUDI013,11452.30869
FDB37_CHUKWUDI046,11792.64715
FDB37_CHUKWUDI049,11997.33547
FDB39_CHUKWUDI017,3058.833663
FDB39_CHUKWUDI019,-3202.546437
FDB39_CHUKWUDI035,2965.737519
FDB39_CHUKWUDI045,2686.478087
FDB39_CHUKWUDI049,2900.6708
FDB41_CHUKWUDI018,2853.377349
FDB41_CHUKWUDI019,-2532.607268
FDB41_CHUKWUDI035,4124.477217
FDB41_CHUKWUDI045,3514.233242
FDB41_CHUKWUDI046,3531.08074
FDB44_CHUKWUDI013,7005.752276
FDB44_CHUKWUDI046,7335.438782
FDB45_CHUKWUDI019,-1259.031051
FDB45_CHUKWUDI045,4477.311896
FDB47_CHUKWUDI013,6785.840566
FDB49_CHUKWUDI018,3143.501104
FDB49_CHUKWUDI019,-2039.036851
FDB49_CHUKWUDI045,3804.130662
FDB50_CHUKWUDI017,3730.790398
FDB50_CHUKWUDI018,2630.562928
FDB50_CHUKWUDI045,3266.734891
FDB50_CHUKWUDI046,3052.495455
FDB50_CHUKWUDI049,3530.764715
FDB51_CHUKWUDI017,2284.024961
FDB51_CHUKWUDI018,1397.00532
FDB51_CHUKWUDI035,2774.293337
FDB51_CHUKWUDI045,2043.449326
FDB51_CHUKWUDI046,2099.187383
FDB52_CHUKWUDI013,6213.253284
FDB52_CHUKWUDI018,5865.666746
FDB52_CHUKWUDI049,6815.104719
FDB56_CHUKWUDI013,7006.76869
FDB57_CHUKWUDI013,9915.099003
FDB57_CHUKWUDI046,10166.60855
FDB59_CHUKWUDI046,5389.868662
FDB60_CHUKWUDI010,4345.364194
FDB60_CHUKWUDI013,8062.315437
FDC02_CHUKWUDI010,5224.130719
FDC02_CHUKWUDI013,9032.067323
FDC02_CHUKWUDI018,8616.656257
FDC02_CHUKWUDI046,9258.634613
FDC03_CHUKWUDI013,8787.474804
FDC04_CHUKWUDI018,6901.386599
FDC04_CHUKWUDI049,7836.671416
FDC08_CHUKWUDI010,5517.774094
FDC08_CHUKWUDI013,9214.954939
FDC08_CHUKWUDI046,9491.222117
FDC08_CHUKWUDI049,9852.053084
FDC09_CHUKWUDI018,2876.463691
FDC09_CHUKWUDI045,3508.653211
FDC10_CHUKWUDI027,9378.994188
FDC10_CHUKWUDI035,5037.667158
FDC11_CHUKWUDI018,3483.976855
FDC11_CHUKWUDI027,8634.999495
FDC11_CHUKWUDI046,3813.442055
FDC14_CHUKWUDI017,3154.599038
FDC14_CHUKWUDI018,2132.972739
FDC14_CHUKWUDI019,-3039.065238
FDC14_CHUKWUDI027,7655.209093
FDC14_CHUKWUDI046,2745.619215
FDC14_CHUKWUDI049,3056.862139
FDC16_CHUKWUDI017,4282.631545
FDC16_CHUKWUDI018,3153.63006
FDC16_CHUKWUDI027,8853.951577
FDC16_CHUKWUDI035,4495.258649
FDC16_CHUKWUDI045,3831.994244
FDC16_CHUKWUDI046,4003.288808
FDC16_CHUKWUDI049,4149.221073
FDC17_CHUKWUDI013,9567.953284
FDC17_CHUKWUDI046,10228.41163
FDC20_CHUKWUDI017,3361.975149
FDC20_CHUKWUDI018,2222.322386
FDC20_CHUKWUDI019,-2981.039289
FDC20_CHUKWUDI035,3596.353249
FDC20_CHUKWUDI045,2936.231865
FDC20_CHUKWUDI046,2504.802887
FDC21_CHUKWUDI017,4446.186552
FDC21_CHUKWUDI019,-1937.906141
FDC22_CHUKWUDI013,7032.07268
FDC26_CHUKWUDI035,4624.866299
FDC28_CHUKWUDI017,5115.446669
FDC28_CHUKWUDI019,-1127.069633
FDC28_CHUKWUDI027,9436.357243
FDC28_CHUKWUDI045,4581.019346
FDC29_CHUKWUDI027,9703.68889
FDC29_CHUKWUDI035,5419.589135
FDC32_CHUKWUDI019,-2193.169691
FDC32_CHUKWUDI027,8608.675609
FDC32_CHUKWUDI035,4448.37002
FDC32_CHUKWUDI045,3731.517989
FDC33_CHUKWUDI013,8363.022514
FDC33_CHUKWUDI046,8703.297906
FDC35_CHUKWUDI010,1479.494137
FDC35_CHUKWUDI013,5184.009676
FDC35_CHUKWUDI046,5609.492368
FDC37_CHUKWUDI019,151.2020459
FDC39_CHUKWUDI013,8724.061504
FDC40_CHUKWUDI017,3419.2821
FDC40_CHUKWUDI018,2375.677838
FDC40_CHUKWUDI035,3596.803867
FDC40_CHUKWUDI049,3364.346725
FDC41_CHUKWUDI017,4492.687556
FDC41_CHUKWUDI019,-1879.153054
FDC41_CHUKWUDI027,8994.606365
FDC41_CHUKWUDI046,4155.480499
FDC41_CHUKWUDI049,4409.675485
FDC44_CHUKWUDI027,9457.743844
FDC44_CHUKWUDI045,4494.473206
FDC46_CHUKWUDI010,4649.298157
FDC46_CHUKWUDI013,8681.140133
FDC47_CHUKWUDI010,7541.310375
FDC47_CHUKWUDI013,11451.08861
FDC47_CHUKWUDI018,11031.7195
FDC48_CHUKWUDI017,4238.590182
FDC48_CHUKWUDI019,-2122.891773
FDC48_CHUKWUDI035,4326.803511
FDC48_CHUKWUDI046,3825.820372
FDC50_CHUKWUDI017,5717.80579
FDC50_CHUKWUDI018,4592.659994
FDC50_CHUKWUDI027,10156.10245
FDC50_CHUKWUDI035,6191.918859
FDC50_CHUKWUDI045,5271.414856
FDC51_CHUKWUDI035,6242.710588
FDC51_CHUKWUDI045,5707.407966
FDC53_CHUKWUDI018,2722.228053
FDC53_CHUKWUDI027,8198.514064
FDC53_CHUKWUDI035,4035.347172
FDC56_CHUKWUDI035,5200.204178
FDC57_CHUKWUDI013,7158.511492
FDC58_CHUKWUDI017,2004.952466
FDC58_CHUKWUDI018,819.1525823
FDC58_CHUKWUDI027,6584.999371
FDC58_CHUKWUDI035,2196.465095
FDC59_CHUKWUDI017,4301.483175
FDC59_CHUKWUDI018,3183.230657
FDC59_CHUKWUDI027,8745.470529
FDC59_CHUKWUDI035,4525.098433
FDC59_CHUKWUDI045,3907.903601
FDC59_CHUKWUDI049,4201.588936
FDC60_CHUKWUDI017,4579.129765
FDC60_CHUKWUDI019,-1814.587833
FDC60_CHUKWUDI046,4153.065381
FDD02_CHUKWUDI045,5215.096054
FDD03_CHUKWUDI013,6201.850475
FDD03_CHUKWUDI018,5839.651384
FDD03_CHUKWUDI046,6485.256836
FDD05_CHUKWUDI027,11141.04733
FDD05_CHUKWUDI045,6183.0957
FDD08_CHUKWUDI017,2569.598214
FDD08_CHUKWUDI018,1415.761601
FDD08_CHUKWUDI027,7041.679244
